county,county_fips,county_name,state
"Appling County, Georgia",13001,Appling County,Georgia
"Atkinson County, Georgia",13003,Atkinson County,Georgia
"Bacon County, Georgia",13005,Bacon County,Georgia
"Baker County, Georgia",13007,Baker County,Georgia
"Baldwin County, Georgia",13009,Baldwin County,Georgia
"Banks County, Georgia",13011,Banks County,Georgia
"Barrow County, Georgia",13013,Barrow County,Georgia
"Bartow County, Georgia",13015,Bartow County,Georgia
"Ben Hill County, Georgia",13017,Ben Hill County,Georgia
"Berrien County, Georgia",13019,Berrien County,Georgia
"Bibb County, Georgia",13021,Bibb County,Georgia
"Bleckley County, Georgia",13023,Bleckley County,Georgia
"Brantley County, Georgia",13025,Brantley County,Georgia
"Brooks County, Georgia",13027,Brooks County,Georgia
"Bryan County, Georgia",13029,Bryan County,Georgia
"Bulloch County, Georgia",13031,Bulloch County,Georgia
"Burke County, Georgia",13033,Burke County,Georgia
"Butts County, Georgia",13035,Butts County,Georgia
"Calhoun County, Georgia",13037,Calhoun County,Georgia
"Camden County, Georgia",13039,Camden County,Georgia
"Candler County, Georgia",13043,Candler County,Georgia
"Carroll County, Georgia",13045,Carroll County,Georgia
"Catoosa County, Georgia",13047,Catoosa County,Georgia
"Charlton County, Georgia",13049,Charlton County,Georgia
"Chatham County, Georgia",13051,Chatham County,Georgia
"Chattahoochee County, Georgia",13053,Chattahoochee County,Georgia
"Chattooga County, Georgia",13055,Chattooga County,Georgia
"Cherokee County, Georgia",13057,Cherokee County,Georgia
"Clarke County, Georgia",13059,Clarke County,Georgia
"Clay County, Georgia",13061,Clay County,Georgia
"Clayton County, Georgia",13063,Clayton County,Georgia
"Clinch County, Georgia",13065,Clinch County,Georgia
"Cobb County, Georgia",13067,Cobb County,Georgia
"Coffee County, Georgia",13069,Coffee County,Georgia
"Colquitt County, Georgia",13071,Colquitt County,Georgia
"Columbia County, Georgia",13073,Columbia County,Georgia
"Cook County, Georgia",13075,Cook County,Georgia
"Coweta County, Georgia",13077,Coweta County,Georgia
"Crawford County, Georgia",13079,Crawford County,Georgia
"Crisp County, Georgia",13081,Crisp County,Georgia
"Dade County, Georgia",13083,Dade County,Georgia
"Dawson County, Georgia",13085,Dawson County,Georgia
"Decatur County, Georgia",13087,Decatur County,Georgia
"DeKalb County, Georgia",13089,DeKalb County,Georgia
"Dodge County, Georgia",13091,Dodge County,Georgia
"Dooly County, Georgia",13093,Dooly County,Georgia
"Dougherty County, Georgia",13095,Dougherty County,Georgia
"Douglas County, Georgia",13097,Douglas County,Georgia
"Early County, Georgia",13099,Early County,Georgia
"Echols County, Georgia",13101,Echols County,Georgia
"Effingham County, Georgia",13103,Effingham County,Georgia
"Elbert County, Georgia",13105,Elbert County,Georgia
"Emanuel County, Georgia",13107,Emanuel County,Georgia
"Evans County, Georgia",13109,Evans County,Georgia
"Fannin County, Georgia",13111,Fannin County,Georgia
"Fayette County, Georgia",13113,Fayette County,Georgia
"Floyd County, Georgia",13115,Floyd County,Georgia
"Forsyth County, Georgia",13117,Forsyth County,Georgia
"Franklin County, Georgia",13119,Franklin County,Georgia
"Fulton County, Georgia",13121,Fulton County,Georgia
"Gilmer County, Georgia",13123,Gilmer County,Georgia
"Glascock County, Georgia",13125,Glascock County,Georgia
"Glynn County, Georgia",13127,Glynn County,Georgia
"Gordon County, Georgia",13129,Gordon County,Georgia
"Grady County, Georgia",13131,Grady County,Georgia
"Greene County, Georgia",13133,Greene County,Georgia
"Gwinnett County, Georgia",13135,Gwinnett County,Georgia
"Habersham County, Georgia",13137,Habersham County,Georgia
"Hall County, Georgia",13139,Hall County,Georgia
"Hancock County, Georgia",13141,Hancock County,Georgia
"Haralson County, Georgia",13143,Haralson County,Georgia
"Harris County, Georgia",13145,Harris County,Georgia
"Hart County, Georgia",13147,Hart County,Georgia
"Heard County, Georgia",13149,Heard County,Georgia
"Henry County, Georgia",13151,Henry County,Georgia
"Houston County, Georgia",13153,Houston County,Georgia
"Irwin County, Georgia",13155,Irwin County,Georgia
"Jackson County, Georgia",13157,Jackson County,Georgia
"Jasper County, Georgia",13159,Jasper County,Georgia
"Jeff Davis County, Georgia",13161,Jeff Davis County,Georgia
"Jefferson County, Georgia",13163,Jefferson County,Georgia
"Jenkins County, Georgia",13165,Jenkins County,Georgia
"Johnson County, Georgia",13167,Johnson County,Georgia
"Jones County, Georgia",13169,Jones County,Georgia
"Lamar County, Georgia",13171,Lamar County,Georgia
"Lanier County, Georgia",13173,Lanier County,Georgia
"Laurens County, Georgia",13175,Laurens County,Georgia
"Lee County, Georgia",13177,Lee County,Georgia
"Liberty County, Georgia",13179,Liberty County,Georgia
"Lincoln County, Georgia",13181,Lincoln County,Georgia
"Long County, Georgia",13183,Long County,Georgia
"Lowndes County, Georgia",13185,Lowndes County,Georgia
"Lumpkin County, Georgia",13187,Lumpkin County,Georgia
"McDuffie County, Georgia",13189,McDuffie County,Georgia
"McIntosh County, Georgia",13191,McIntosh County,Georgia
"Macon County, Georgia",13193,Macon County,Georgia
"Madison County, Georgia",13195,Madison County,Georgia
"Marion County, Georgia",13197,Marion County,Georgia
"Meriwether County, Georgia",13199,Meriwether County,Georgia
"Miller County, Georgia",13201,Miller County,Georgia
"Mitchell County, Georgia",13205,Mitchell County,Georgia
"Monroe County, Georgia",13207,Monroe County,Georgia
"Montgomery County, Georgia",13209,Montgomery County,Georgia
"Morgan County, Georgia",13211,Morgan County,Georgia
"Murray County, Georgia",13213,Murray County,Georgia
"Muscogee County, Georgia",13215,Muscogee County,Georgia
"Newton County, Georgia",13217,Newton County,Georgia
"Oconee County, Georgia",13219,Oconee County,Georgia
"Oglethorpe County, Georgia",13221,Oglethorpe County,Georgia
"Paulding County, Georgia",13223,Paulding County,Georgia
"Peach County, Georgia",13225,Peach County,Georgia
"Pickens County, Georgia",13227,Pickens County,Georgia
"Pierce County, Georgia",13229,Pierce County,Georgia
"Pike County, Georgia",13231,Pike County,Georgia
"Polk County, Georgia",13233,Polk County,Georgia
"Pulaski County, Georgia",13235,Pulaski County,Georgia
"Putnam County, Georgia",13237,Putnam County,Georgia
"Quitman County, Georgia",13239,Quitman County,Georgia
"Rabun County, Georgia",13241,Rabun County,Georgia
"Randolph County, Georgia",13243,Randolph County,Georgia
"Richmond County, Georgia",13245,Richmond County,Georgia
"Rockdale County, Georgia",13247,Rockdale County,Georgia
"Schley County, Georgia",13249,Schley County,Georgia
"Screven County, Georgia",13251,Screven County,Georgia
"Seminole County, Georgia",13253,Seminole County,Georgia
"Spalding County, Georgia",13255,Spalding County,Georgia
"Stephens County, Georgia",13257,Stephens County,Georgia
"Stewart County, Georgia",13259,Stewart County,Georgia
"Sumter County, Georgia",13261,Sumter County,Georgia
"Talbot County, Georgia",13263,Talbot County,Georgia
"Taliaferro County, Georgia",13265,Taliaferro County,Georgia
"Tattnall County, Georgia",13267,Tattnall County,Georgia
"Taylor County, Georgia",13269,Taylor County,Georgia
"Telfair County, Georgia",13271,Telfair County,Georgia
"Terrell County, Georgia",13273,Terrell County,Georgia
"Thomas County, Georgia",13275,Thomas County,Georgia
"Tift County, Georgia",13277,Tift County,Georgia
"Toombs County, Georgia",13279,Toombs County,Georgia
"Towns County, Georgia",13281,Towns County,Georgia
